iter	Logloss
0	0.6613335928
1	0.6328656217
2	0.6045452774
3	0.5795268813
4	0.5574969551
5	0.5357373374
6	0.5169375367
7	0.498083094
8	0.4813468556
9	0.4647716217
10	0.4509847126
11	0.4371069404
12	0.4239406999
13	0.4120312922
14	0.4010666383
15	0.3911759797
16	0.3827318568
17	0.3737718479
18	0.3660508956
19	0.3588319437
20	0.3521664406
21	0.3460716681
22	0.3403302925
23	0.334533094
24	0.329189742
25	0.3241238519
26	0.3200059408
27	0.3161467985
28	0.3123604057
29	0.3091679937
30	0.3059591415
31	0.3029542453
32	0.2999875925
33	0.2971689993
34	0.2948146531
35	0.2923118584
36	0.2901159802
37	0.2878585309
38	0.2859562252
39	0.2840670987
40	0.2822524822
41	0.2807090615
42	0.2790208622
43	0.2773805188
44	0.2761870057
45	0.2747788602
46	0.2735813884
47	0.2723513815
48	0.2712817875
49	0.2702498585
50	0.269187928
51	0.2682108147
52	0.2672598484
53	0.2664502201
54	0.2656638161
55	0.2649024387
56	0.264244905
57	0.2636271352
58	0.2629965921
59	0.2623526683
60	0.2618419636
61	0.2613796914
62	0.2608024704
63	0.2602879925
64	0.2598161585
65	0.2593899614
66	0.2589679661
67	0.2585696805
68	0.2582243687
69	0.2578371455
70	0.2575098866
71	0.2571408711
72	0.2567845277
73	0.256526929
74	0.2562479102
75	0.2559556764
76	0.2557306357
77	0.2554105698
78	0.2551564743
79	0.2549102248
80	0.2546712169
81	0.2544516801
82	0.2542024117
83	0.2539568063
84	0.2537284638
85	0.2535296892
86	0.2533119417
87	0.2530872613
88	0.2529040506
89	0.2527135011
90	0.2525117522
91	0.2523841958
92	0.2522148739
93	0.2520518012
94	0.2518735893
95	0.2517230865
96	0.2515654224
97	0.2514338736
98	0.2512767703
99	0.2511381932
